scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2016,2016-07-01,2017-02-18,233,233,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2016,2017-03-05,2017-03-06,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2016,2017-03-16,2017-03-19,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2016,2017-03-26,2017-04-09,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2016,2017-04-14,2017-05-09,26,26,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2017,2017-08-12,2017-11-08,89,89,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2017,2017-11-23,2017-12-22,30,30,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2017,2017-12-25,2018-02-26,64,64,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2017,2018-02-28,2018-02-28,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2017,2018-04-22,2018-04-22,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2018-08-22,2018-11-26,97,97,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2018-11-29,2018-12-10,12,12,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2018-12-14,2018-12-15,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2018-12-21,2018-12-29,9,9,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2019-01-01,2019-01-15,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2019-01-18,2019-01-21,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2019-01-24,2019-01-29,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2019-02-04,2019-02-04,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2019-02-10,2019-02-13,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2018,2019-04-05,2019-04-07,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2014,2015-01-08,2015-01-09,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2014,2015-01-18,2015-01-19,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2014,2015-01-29,2015-01-29,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-09-01,2015-09-07,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-09-19,2015-10-09,21,21,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-11-09,2015-11-10,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-12-03,2015-12-03,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-12-06,2015-12-06,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-12-13,2015-12-19,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2015-12-24,2015-12-28,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2016-01-17,2016-01-18,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2016-01-20,2016-01-22,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2015,2016-01-29,2016-02-03,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2016-09-01,2016-09-02,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2016-11-18,2016-11-19,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2016-11-21,2016-12-17,27,27,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2016-12-21,2017-02-18,60,60,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2017-03-05,2017-03-06,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2017-03-16,2017-03-19,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2017-03-26,2017-04-09,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2016,2017-04-14,2017-04-30,17,17,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2017,2017-09-01,2017-11-08,69,69,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2017,2017-11-23,2017-12-22,30,30,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2017,2017-12-25,2018-02-26,64,64,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2017,2018-02-28,2018-02-28,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2017,2018-04-22,2018-04-22,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2018-09-01,2018-11-26,87,87,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2018-11-29,2018-12-10,12,12,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2018-12-14,2018-12-15,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2018-12-21,2018-12-29,9,9,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2019-01-01,2019-01-15,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2019-01-18,2019-01-21,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2019-01-24,2019-01-29,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2019-02-04,2019-02-04,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2019-02-10,2019-02-13,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF2,2018,2019-04-05,2019-04-07,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2015,2016-06-22,2016-06-29,8,8,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2016,2016-07-10,2016-07-16,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2016,2016-07-22,2016-07-30,9,9,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2016,2016-08-05,2016-08-10,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2016,2016-09-03,2016-11-17,76,76,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2016,2016-11-20,2016-11-20,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF1,2016,2016-12-18,2016-12-20,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF2,2016,2016-10-01,2016-11-17,48,48,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF2,2016,2016-11-20,2016-11-20,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,LF2,2016,2016-12-18,2016-12-20,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,OB/WS3,2016,2016-07-23,2016-07-23,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,OB/WS3,2016,2016-09-05,2016-09-07,3,3,
